file,psnr_ours_vs_official,ssim_ours_vs_official,mae_ours_vs_official,psnr_ours_vs_original,ssim_ours_vs_original,mae_ours_vs_original,psnr_official_vs_original,ssim_official_vs_original,mae_official_vs_original
DICM/22.jpg,14.739317200573144,0.36558065,0.142717182636261,35.635992363785114,0.91568476,0.010660301893949509,14.632618736692052,0.35158312,0.14519411325454712
DICM/25.jpg,15.598063656126795,0.29297736,0.12843920290470123,38.80353818422263,0.95575005,0.006371358409523964,15.551292845612112,0.3025945,0.12923653423786163
DICM/26.jpg,18.665903862564658,0.501363,0.06606752425432205,41.09758921147642,0.9691002,0.004421913530677557,18.44165934350879,0.52087766,0.06731825321912766
DICM/27.jpg,19.069944842541368,0.32781366,0.0744735524058342,44.52116596412466,0.97157955,0.003117145737633109,19.073935160017925,0.33953238,0.07452353090047836
DICM/28.jpg,11.954628228671286,0.5765524,0.22395753860473633,37.52998228394227,0.952285,0.009331908077001572,11.821935052547822,0.56684923,0.2284397929906845
DICM/29.jpg,12.57176190144091,0.31096497,0.2078559249639511,40.142875226311496,0.94752866,0.007127396296709776,12.49085894590146,0.3229073,0.20986011624336243
DICM/30.jpg,10.88837937943447,0.42136386,0.25931674242019653,41.37697976319917,0.96533126,0.006205527577549219,10.775552122072192,0.41797844,0.26273250579833984
DICM/31.jpg,12.591256605140517,0.7292959,0.21975283324718475,38.5467865863673,0.9613182,0.008984854444861412,12.373961303756069,0.71525097,0.2257276028394699
DICM/32.jpg,11.121097422111193,0.5540376,0.25880515575408936,37.86008242881929,0.95993716,0.008996163494884968,10.994784530184694,0.5454383,0.26284271478652954
DICM/33.jpg,13.457824236836796,0.56227034,0.1815122812986374,39.39683402230232,0.9661641,0.007519547361880541,13.314835360529788,0.55911255,0.18540842831134796
DICM/34.jpg,13.436519087542472,0.59845084,0.17277251183986664,35.1467016311626,0.93276864,0.012027806602418423,13.343975408199057,0.6023194,0.17585019767284393
DICM/35.jpg,14.418615230381825,0.52778554,0.17229056358337402,36.62104271576304,0.94735265,0.00998844113200903,14.25601246642476,0.52239245,0.17595615983009338
DICM/36.jpg,14.210915033295777,0.6754675,0.15759289264678955,39.107656479204934,0.9540634,0.008051808923482895,14.04112050466052,0.6654485,0.1617259383201599
DICM/37.jpg,16.850861073562122,0.7104785,0.09192901104688644,34.72354415390741,0.9421212,0.011401360854506493,16.739107566883785,0.7029651,0.09473056346178055
DICM/38.jpg,16.117522973764725,0.7882537,0.1140165627002716,37.471392135709955,0.9516411,0.009550309740006924,15.92002130496795,0.7729683,0.11771388351917267
DICM/39.jpg,16.3313674197579,0.7384744,0.11572922021150589,33.93654906540158,0.9464585,0.012687158770859241,16.15165503401719,0.729105,0.12014390528202057
DICM/40.jpg,13.232560914018741,0.5715057,0.1923113465309143,36.374336926355035,0.9545091,0.010554268956184387,13.102993159311268,0.5649202,0.19580787420272827
DICM/41.jpg,14.865744520782558,0.7508301,0.15835699439048767,39.62323417432556,0.96158576,0.007910995744168758,14.642951505678006,0.7405209,0.1637483388185501
DICM/42.jpg,13.750348114339841,0.61169124,0.18178358674049377,36.42397755223944,0.9619495,0.01052447035908699,13.591036464426756,0.6048822,0.18593186140060425
DICM/43.jpg,15.564310306744249,0.7095936,0.11912772059440613,37.279270264534475,0.9591089,0.009502687491476536,15.414630256760077,0.6994303,0.12238405644893646
DICM/44.jpg,13.479956136920459,0.74620706,0.1707010269165039,37.520794513293254,0.93314505,0.009706484153866768,13.292912374929639,0.73251635,0.17559130489826202
DICM/45.jpg,13.898397461034051,0.7111616,0.1859768033027649,38.122282997519804,0.96397763,0.00930768996477127,13.665563252230704,0.6939513,0.19146624207496643
DICM/46.jpg,17.515735152400758,0.9311468,0.09647216647863388,36.445522538281246,0.98017174,0.0098922960460186,17.173610243951153,0.91970634,0.10027235001325607
DICM/47.jpg,18.81015810382791,0.9357419,0.07667174935340881,35.8562876318451,0.9756146,0.010214135982096195,18.405246324075073,0.9238565,0.07988247275352478
DICM/48.jpg,15.714904932587464,0.8355368,0.14597095549106598,37.86878714925579,0.96928734,0.009589101187884808,15.392130532742868,0.8213983,0.1519896388053894
DICM/49.jpg,14.910961219176679,0.84081715,0.16104979813098907,37.85147257468307,0.9707152,0.00942047405987978,14.627548191111126,0.8264306,0.16701816022396088
DICM/50.jpg,14.316319673461955,0.77214354,0.16096225380897522,38.923512234549705,0.96863985,0.008306751027703285,14.104351669485805,0.7593987,0.1654859483242035
DICM/52.jpg,15.257350444107225,0.8418252,0.13784408569335938,37.36143464739294,0.95945626,0.009290790185332298,15.009946181174952,0.82635194,0.1428726315498352
DICM/53.jpg,16.666681373606345,0.8623751,0.11237350106239319,38.17053694020173,0.9527323,0.008240076713263988,16.385363788492647,0.84404093,0.11698447167873383
DICM/54.jpg,14.301079135309134,0.76280326,0.1727980524301529,38.63196697850819,0.95831877,0.00883580558001995,14.059713320234247,0.745071,0.17826253175735474
